combo,mean_f1,std_f1
"('B5', 'B4', 'B1', 'B6', 'B7')",0.6247858391286553,0.005505770496816532
"('B5', 'B4', 'B2', 'B1', 'B8')",0.6246989554770236,0.004051490900025143
"('B10', 'B2', 'B6', 'B7', 'B9')",0.6240719412210521,0.002238935622044761
"('B10', 'B4', 'B3', 'B8')",0.6240296508899225,0.0037965458915397423
"('B4', 'B3', 'B2', 'B1', 'B9')",0.6239517695951605,0.0016295693607677765
"('B11', 'B3', 'B1', 'B7', 'B9')",0.6238651107323382,0.00288153303576381
"('B10', 'B5', 'B3', 'B8', 'B9')",0.6238546684054702,0.0038465463591841735
"('B10', 'B5', 'B1', 'B7', 'B8')",0.6237377470241525,0.0032698849446830902
"('B10', 'B2', 'B1', 'B6', 'B8')",0.623693686126307,0.0029223391657140813
"('B4', 'B3', 'B2', 'B1', 'B8')",0.6235552265757311,0.0035810304685770958
"('B4', 'B2', 'B1', 'B6', 'B7')",0.6229585644505948,0.004247863249211222
"('B10', 'B3', 'B2', 'B1', 'B6')",0.6227335853976573,0.002195473718783583
"('B5', 'B4', 'B6', 'B8', 'B9')",0.6226840637625884,0.004441821496613673
"('B10', 'B4', 'B2', 'B7')",0.6226657822536893,0.0044694218987218984
"('B11', 'B3', 'B6', 'B7', 'B9')",0.6226173500265704,0.0013053782655808482
"('B11', 'B5', 'B6', 'B9')",0.62260468155082,0.0025745233505936717
"('B10', 'B11', 'B5', 'B8')",0.6219089374350207,0.0019341581031226268
"('B10', 'B4', 'B2', 'B9')",0.6218028997443986,0.005521833356947269
"('B4', 'B2', 'B1', 'B6', 'B8')",0.6217521723968739,0.0048827096204634955
"('B10', 'B11', 'B2', 'B7', 'B8')",0.6217489904883834,0.0015481086301693293
"('B10', 'B11', 'B1', 'B6', 'B8')",0.621738591681057,0.004199509353289706
"('B4', 'B3', 'B2', 'B1', 'B7')",0.6217274179377419,0.00324391434890624
"('B10', 'B11', 'B6', 'B7', 'B9')",0.6216421551829178,0.004275610383698355
"('B10', 'B4', 'B1', 'B6')",0.6215009243152063,0.003948043770192972
"('B10', 'B5', 'B4', 'B8')",0.6213960871557408,0.004981530069985753
"('B4', 'B3', 'B2', 'B1', 'B6')",0.6213030164529593,0.004070023187353887
